#stokes,freq,ind,real,imag,etax,etay
9,882.33200000,0,306.26083700,-1.20733700,0.92000000,1.00000000
9,882.33200000,1,27.51063820,2.94075340,0.92000000,1.00000000
9,882.33200000,2,1.41374560,-12.29836920,0.92000000,1.00000000
9,882.33200000,3,77.44299300,-19.44261270,0.92000000,1.00000000
9,882.33200000,4,-395.09263640,16.92525490,0.92000000,1.00000000
9,882.33200000,5,-25.82339120,-9.67537740,0.92000000,1.00000000
9,882.33200000,6,10.15761030,-0.47390250,0.92000000,1.00000000
9,882.33200000,7,5.65841540,10.30818790,0.92000000,1.00000000
9,882.33200000,8,2.71175880,-13.13996440,0.92000000,1.00000000
9,882.33200000,9,-5.80794840,28.13942690,0.92000000,1.00000000
9,882.33200000,10,-139.37500390,34.99409390,0.92000000,1.00000000
9,882.33200000,11,6.07596460,-3.20541560,0.92000000,1.00000000
9,882.33200000,12,76.79434800,-32.98731310,0.92000000,1.00000000
9,882.33200000,13,26.53302260,23.29566210,0.92000000,1.00000000
9,882.33200000,14,-6.96500940,7.82305150,0.92000000,1.00000000
9,882.33200000,15,2.70614870,1.24580500,0.92000000,1.00000000
9,882.33200000,16,-6.94888310,-5.79179790,0.92000000,1.00000000
9,882.33200000,17,-32.11036210,-17.63738270,0.92000000,1.00000000
9,882.33200000,18,0.44150870,-8.92456870,0.92000000,1.00000000
9,882.33200000,19,-2.70290750,15.10392170,0.92000000,1.00000000
9,882.33200000,20,0.68985070,-0.35740900,0.92000000,1.00000000
9,882.33200000,21,-32.50835510,7.07854550,0.92000000,1.00000000
9,882.33200000,22,-3.57773550,2.69748730,0.92000000,1.00000000
9,882.33200000,23,-10.11398690,2.41620990,0.92000000,1.00000000
9,882.33200000,24,11.44311390,39.51329560,0.92000000,1.00000000
9,882.33200000,25,-10.43966550,-16.36126770,0.92000000,1.00000000
9,882.33200000,26,9.33636700,-6.07038940,0.92000000,1.00000000
9,882.33200000,27,6.85962350,-1.73458700,0.92000000,1.00000000
9,882.33200000,28,1.38739460,3.36838320,0.92000000,1.00000000
9,882.33200000,29,-4.01481230,-1.10641360,0.92000000,1.00000000
9,882.33200000,30,-4.78729570,8.20708700,0.92000000,1.00000000
9,882.33200000,31,3.47784270,8.48428580,0.92000000,1.00000000
9,882.33200000,32,2.11962580,-2.41737190,0.92000000,1.00000000
9,882.33200000,33,0.02856960,5.67905390,0.92000000,1.00000000
9,882.33200000,34,-0.12869430,0.79820860,0.92000000,1.00000000
9,882.33200000,35,3.12217870,-15.54845550,0.92000000,1.00000000
9,882.33200000,36,2.59129080,-0.88544990,0.92000000,1.00000000
9,882.33200000,37,-1.70782100,-0.49245810,0.92000000,1.00000000
9,882.33200000,38,0.22791980,-0.85069020,0.92000000,1.00000000
9,882.33200000,39,-1.43079010,0.22262830,0.92000000,1.00000000
9,882.33200000,40,17.47518710,-24.80972600,0.92000000,1.00000000
9,882.33200000,41,4.59023140,3.53523260,0.92000000,1.00000000
9,882.33200000,42,-11.41923260,-2.15330850,0.92000000,1.00000000
9,882.33200000,43,-4.44208110,1.68306560,0.92000000,1.00000000
